order_id,date,time,customer_id,total_payment
1,2015-01-01,11:38:36,742,13.25
2,2015-01-01,11:57:40,5819,92.0
3,2015-01-01,12:12:28,5250,37.25
4,2015-01-01,12:16:31,6608,16.5
5,2015-01-01,12:21:30,1375,16.5
6,2015-01-01,12:29:36,1154,24.75
7,2015-01-01,12:50:37,484,12.5
8,2015-01-01,12:51:37,5899,12.5
9,2015-01-01,12:52:01,4118,143.25
10,2015-01-01,13:00:15,6132,41.0
11,2015-01-01,13:02:59,5827,73.5
12,2015-01-01,13:04:41,744,70.75
13,2015-01-01,13:11:55,4221,20.25
14,2015-01-01,13:14:19,2936,12.0
15,2015-01-01,13:33:00,1352,63.25
16,2015-01-01,13:34:07,248,50.7
17,2015-01-01,13:53:00,217,184.5
18,2015-01-01,13:57:08,1305,20.5
19,2015-01-01,13:59:09,1378,40.75
20,2015-01-01,14:03:08,6334,30.5
21,2015-01-01,14:14:29,1470,20.5
22,2015-01-01,14:16:26,5465,55.25
23,2015-01-01,14:19:03,747,12.75
24,2015-01-01,14:23:01,4212,57.75
25,2015-01-01,14:44:44,1986,37.0
26,2015-01-01,14:54:26,3113,32.25
27,2015-01-01,15:11:17,5001,57.0
28,2015-01-01,15:35:46,5299,12.75
29,2015-01-01,15:41:01,1277,12.0
30,2015-01-01,15:41:25,4571,20.75
31,2015-01-01,15:50:18,1636,25.75
32,2015-01-01,15:53:18,4136,69.25
33,2015-01-01,15:54:08,183,32.75
34,2015-01-01,16:21:21,1614,12.0
35,2015-01-01,16:32:04,3553,66.75
36,2015-01-01,16:54:09,6550,32.75
37,2015-01-01,16:56:09,1732,41.0
38,2015-01-01,17:03:00,250,31.0
39,2015-01-01,17:07:23,4366,20.75
40,2015-01-01,17:14:36,5294,30.7
41,2015-01-01,17:15:20,3013,26.75
42,2015-01-01,17:28:09,961,67.25
43,2015-01-01,17:38:34,5002,54.0
44,2015-01-01,17:54:20,784,12.5
45,2015-01-01,17:55:48,5135,45.2
46,2015-01-01,18:25:51,1239,58.0
47,2015-01-01,18:26:34,722,32.75
48,2015-01-01,18:26:42,2221,70.25
49,2015-01-01,18:33:00,2970,20.25
50,2015-01-01,18:41:01,2320,25.5
51,2015-01-01,18:48:28,4544,38.25
52,2015-01-01,18:53:02,2292,57.5
53,2015-01-01,18:54:17,2690,27.5
54,2015-01-01,19:01:45,907,37.25
55,2015-01-01,19:03:19,4003,33.25
56,2015-01-01,19:07:00,6689,53.0
57,2015-01-01,19:10:51,109,16.0
58,2015-01-01,19:30:40,3775,31.0
59,2015-01-01,19:40:08,1712,39.0
60,2015-01-01,20:05:16,3061,35.5
61,2015-01-01,20:08:43,723,37.5
62,2015-01-01,20:50:16,3140,33.25
63,2015-01-01,20:51:42,233,14.5
64,2015-01-01,20:52:08,526,12.0
65,2015-01-01,21:16:00,2802,52.25
66,2015-01-01,21:47:55,3933,32.0
67,2015-01-01,22:03:40,5700,20.75
68,2015-01-01,22:07:32,2472,53.25
69,2015-01-01,22:12:13,4187,20.75
70,2015-01-02,11:38:51,5349,33.5
71,2015-01-02,11:40:50,3626,20.75
72,2015-01-02,11:57:25,5001,20.25
73,2015-01-02,11:58:56,1387,12.75
74,2015-01-02,12:01:12,5886,72.0
75,2015-01-02,12:10:15,3632,53.25
76,2015-01-02,12:21:17,4842,70.25
77,2015-01-02,12:22:46,1060,30.0
78,2015-01-02,12:28:14,4452,132.95
79,2015-01-02,12:29:11,5730,52.25
80,2015-01-02,12:35:38,4389,26.5
81,2015-01-02,12:40:01,3485,20.75
82,2015-01-02,12:45:51,581,65.5
83,2015-01-02,12:53:27,6426,12.75
84,2015-01-02,13:13:41,5413,15.25
85,2015-01-02,13:34:49,4636,64.75
86,2015-01-02,13:40:31,2462,16.5
87,2015-01-02,14:01:02,1264,65.25
88,2015-01-02,14:10:08,580,18.5
89,2015-01-02,14:30:19,5728,41.5
90,2015-01-02,15:08:48,2435,33.0
91,2015-01-02,15:14:43,6020,64.0
92,2015-01-02,15:17:02,4654,152.25
93,2015-01-02,15:29:31,186,16.25
94,2015-01-02,16:17:16,4194,28.75
95,2015-01-02,16:18:04,2065,32.75
96,2015-01-02,16:21:20,852,12.0
97,2015-01-02,16:45:33,3142,12.0
98,2015-01-02,17:18:18,5970,41.0
99,2015-01-02,17:45:42,2398,20.75
100,2015-01-02,17:46:17,3463,16.5
101,2015-01-02,17:51:33,3199,73.25
102,2015-01-02,17:54:04,6157,25.25
103,2015-01-02,18:02:09,324,12.5
104,2015-01-02,18:02:12,3531,70.5
105,2015-01-02,18:12:01,4493,52.75
106,2015-01-02,18:12:13,4999,41.0
107,2015-01-02,18:25:09,4926,78.25
108,2015-01-02,18:25:25,6644,57.75
109,2015-01-02,18:27:50,5051,74.5
110,2015-01-02,18:36:19,1026,65.75
111,2015-01-02,18:38:01,4806,68.5
112,2015-01-02,18:41:40,2550,9.75
113,2015-01-02,18:50:21,5004,57.75
114,2015-01-02,18:59:32,1844,27.5
115,2015-01-02,19:05:17,4982,49.25
116,2015-01-02,19:18:49,422,18.5
117,2015-01-02,19:23:02,5412,36.75
118,2015-01-02,19:26:59,6234,32.75
119,2015-01-02,19:32:29,6640,14.75
120,2015-01-02,19:35:07,5565,42.75
121,2015-01-02,19:38:48,6585,75.7
122,2015-01-02,19:50:19,580,16.5
123,2015-01-02,20:12:09,1552,12.0
124,2015-01-02,20:12:34,2279,65.75
125,2015-01-02,20:31:06,400,25.5
126,2015-01-02,20:53:42,2645,20.25
127,2015-01-02,20:58:23,3971,12.5
128,2015-01-02,21:05:06,3349,12.5
129,2015-01-02,21:13:02,2637,28.0
130,2015-01-02,21:14:55,1091,59.75
131,2015-01-02,21:33:10,3830,63.75
132,2015-01-02,21:42:45,5154,9.75
133,2015-01-02,22:00:17,3841,49.25
134,2015-01-02,22:13:24,4575,45.25
135,2015-01-02,22:29:34,4072,20.25
136,2015-01-02,22:32:49,3010,31.0
137,2015-01-03,11:34:10,6313,46.5
138,2015-01-03,11:44:50,6596,71.95
139,2015-01-03,11:57:39,803,18.5
140,2015-01-03,12:26:44,6867,28.5
141,2015-01-03,13:16:01,4574,16.0
142,2015-01-03,13:33:59,4188,16.0
143,2015-01-03,13:41:36,6332,121.75
144,2015-01-03,13:44:28,282,238.45
145,2015-01-03,13:53:48,3494,12.0
146,2015-01-03,14:22:10,5335,48.75
147,2015-01-03,14:32:51,1348,25.5
148,2015-01-03,14:40:42,6276,12.0
149,2015-01-03,14:48:45,4257,16.0
150,2015-01-03,14:49:58,3184,12.5
151,2015-01-03,15:09:34,4979,33.25
152,2015-01-03,15:09:42,2347,59.5
153,2015-01-03,15:16:34,5626,16.0
154,2015-01-03,15:22:43,552,12.5
